k,silhouette,davies_bouldin,calinski_harabasz
2,0.8824713663751557,0.7425425704839039,1853.3443311031178
3,0.2757874781071121,1.2186819152668222,1925.6955492420013
4,0.3101060466098825,1.0337010269893483,1971.3077312690407
5,0.3168237743438423,0.9893652006491276,2023.8845204259069
6,0.3436786067576401,0.8967108364760633,2226.781806874233
7,0.33982132514916796,0.9252755727919287,2163.729786597602
8,0.32042027487074926,0.9505037584773184,2032.526898709051
9,0.31911026624037087,0.9691204821922869,2044.3646981683762
10,0.3223202161801591,1.0269204312968314,1990.113865269234
