k,silhouette,davies_bouldin,calinski_harabasz
2,0.0949288159608841,3.011351832378979,623.2065839936654
3,0.07840394973754883,2.964973203480572,495.70939922252495
4,0.07127205282449722,2.921407738900591,426.3260612036453
5,0.07669255137443542,2.830253336047639,383.1529466099651
6,0.07617926597595215,2.6759289801392625,353.5562416430805
7,0.07298608124256134,2.628213506237605,333.4635632811789
8,0.07949215173721313,2.472763545180314,312.4127060828806
9,0.08009547740221024,2.4078535957491933,298.6354934954777
10,0.08208484202623367,2.375547741126933,284.82421860032366
